material_name,material_type,potential_matches,match_confidence,sustainability_impact,economic_viability,implementation_complexity,ai_generated,generation_timestamp
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.662079
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.663080
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.665594
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.672176
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.674186
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.676187
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.677190
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.682715
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Construction_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Demolition_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Recycled_aggregates,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Reclaimed_materials,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
Crushed_concrete,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.683730
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.684730
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.686727
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.687730
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.689952
Produced_water,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Drilling_muds_cuttings,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Oily_sludges,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Spent_catalysts,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Sulfur,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
CO2_emissions,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Methane_emissions,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Process_gases,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Glass_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
Paper_waste,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.691235
General_industrial_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.693254
Wastewater,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.693254
Dust,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.693254
Electronic_waste,waste,"['Wastewater_treatment_plants', 'Recycling_facilities', 'Composting_plants', 'Biogas_generation', 'Construction_materials', 'Fertilizer_production']",0.85,high,medium,low,True,2025-07-20T07:54:53.693254
Metal_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.693254
Plastic_scraps,by_product,"['Chemical_manufacturing', 'Plastic_production', 'Fertilizer_plants', 'Construction_companies', 'Packaging_manufacturers', 'Automotive_industry']",0.85,high,medium,low,True,2025-07-20T07:54:53.693254
