company_id,company_name,material_name,material_type,quantity,unit,description,quality_grade,potential_value,ai_generated,generated_at
,Jordan Phosphate Mines Company (JPMC),Steel Scrap,waste,150,tons,Steel scrap from Jordan Phosphate Mines Company (JPMC) manufacturing,B,45000,True,2025-07-20T00:39:20.128007
,Jordan Phosphate Mines Company (JPMC),Aluminum Waste,waste,50,tons,Aluminum waste from Jordan Phosphate Mines Company (JPMC) operations,A,75000,True,2025-07-20T00:39:20.128007
,Jordan Phosphate Mines Company (JPMC),AI Listing 1 for Jordan Phosphate Mines Company (JPMC),ai_generated,100,tons,AI-generated material listing 1 for Jordan Phosphate Mines Company (JPMC),A,5000,True,2025-07-20T00:39:20.128007
,Jordan Phosphate Mines Company (JPMC),AI Listing 2 for Jordan Phosphate Mines Company (JPMC),ai_generated,50,tons,AI-generated material listing 2 for Jordan Phosphate Mines Company (JPMC),B,2500,True,2025-07-20T00:39:20.128007
,Jordan Phosphate Mines Company (JPMC),Generic Material - Jordan Phosphate Mines Company (JPMC),unknown,100,tons,Generic material from Jordan Phosphate Mines Company (JPMC),C,2000,True,2025-07-20T00:39:20.128007
,Gulf Petrochemical Industries Company (GPIC),Steel Scrap,waste,150,tons,Steel scrap from Gulf Petrochemical Industries Company (GPIC) manufacturing,B,45000,True,2025-07-20T00:39:20.140159
,Gulf Petrochemical Industries Company (GPIC),Aluminum Waste,waste,50,tons,Aluminum waste from Gulf Petrochemical Industries Company (GPIC) operations,A,75000,True,2025-07-20T00:39:20.140159
,Gulf Petrochemical Industries Company (GPIC),AI Listing 1 for Gulf Petrochemical Industries Company (GPIC),ai_generated,100,tons,AI-generated material listing 1 for Gulf Petrochemical Industries Company (GPIC),A,5000,True,2025-07-20T00:39:20.140159
,Gulf Petrochemical Industries Company (GPIC),AI Listing 2 for Gulf Petrochemical Industries Company (GPIC),ai_generated,50,tons,AI-generated material listing 2 for Gulf Petrochemical Industries Company (GPIC),B,2500,True,2025-07-20T00:39:20.140159
,Gulf Petrochemical Industries Company (GPIC),Generic Material - Gulf Petrochemical Industries Company (GPIC),unknown,100,tons,Generic material from Gulf Petrochemical Industries Company (GPIC),C,2000,True,2025-07-20T00:39:20.140159
,Saudi Aramco Shell Refinery Company (SASREF),Steel Scrap,waste,150,tons,Steel scrap from Saudi Aramco Shell Refinery Company (SASREF) manufacturing,B,45000,True,2025-07-20T00:39:20.151210
,Saudi Aramco Shell Refinery Company (SASREF),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Aramco Shell Refinery Company (SASREF) operations,A,75000,True,2025-07-20T00:39:20.151210
,Saudi Aramco Shell Refinery Company (SASREF),AI Listing 1 for Saudi Aramco Shell Refinery Company (SASREF),ai_generated,100,tons,AI-generated material listing 1 for Saudi Aramco Shell Refinery Company (SASREF),A,5000,True,2025-07-20T00:39:20.151210
,Saudi Aramco Shell Refinery Company (SASREF),AI Listing 2 for Saudi Aramco Shell Refinery Company (SASREF),ai_generated,50,tons,AI-generated material listing 2 for Saudi Aramco Shell Refinery Company (SASREF),B,2500,True,2025-07-20T00:39:20.151210
,Saudi Aramco Shell Refinery Company (SASREF),Generic Material - Saudi Aramco Shell Refinery Company (SASREF),unknown,100,tons,Generic material from Saudi Aramco Shell Refinery Company (SASREF),C,2000,True,2025-07-20T00:39:20.151210
,Saudi Aramco Total Refining and Petrochemical Company (SATORP),Steel Scrap,waste,150,tons,Steel scrap from Saudi Aramco Total Refining and Petrochemical Company (SATORP) manufacturing,B,45000,True,2025-07-20T00:39:20.163601
,Saudi Aramco Total Refining and Petrochemical Company (SATORP),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Aramco Total Refining and Petrochemical Company (SATORP) operations,A,75000,True,2025-07-20T00:39:20.163601
,Saudi Aramco Total Refining and Petrochemical Company (SATORP),AI Listing 1 for Saudi Aramco Total Refining and Petrochemical Company (SATORP),ai_generated,100,tons,AI-generated material listing 1 for Saudi Aramco Total Refining and Petrochemical Company (SATORP),A,5000,True,2025-07-20T00:39:20.163601
,Saudi Aramco Total Refining and Petrochemical Company (SATORP),AI Listing 2 for Saudi Aramco Total Refining and Petrochemical Company (SATORP),ai_generated,50,tons,AI-generated material listing 2 for Saudi Aramco Total Refining and Petrochemical Company (SATORP),B,2500,True,2025-07-20T00:39:20.163601
,Saudi Aramco Total Refining and Petrochemical Company (SATORP),Generic Material - Saudi Aramco Total Refining and Petrochemical Company (SATORP),unknown,100,tons,Generic material from Saudi Aramco Total Refining and Petrochemical Company (SATORP),C,2000,True,2025-07-20T00:39:20.163601
,Saudi Kayan Petrochemical Company,Steel Scrap,waste,150,tons,Steel scrap from Saudi Kayan Petrochemical Company manufacturing,B,45000,True,2025-07-20T00:39:20.175122
,Saudi Kayan Petrochemical Company,Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Kayan Petrochemical Company operations,A,75000,True,2025-07-20T00:39:20.176120
,Saudi Kayan Petrochemical Company,AI Listing 1 for Saudi Kayan Petrochemical Company,ai_generated,100,tons,AI-generated material listing 1 for Saudi Kayan Petrochemical Company,A,5000,True,2025-07-20T00:39:20.176120
,Saudi Kayan Petrochemical Company,AI Listing 2 for Saudi Kayan Petrochemical Company,ai_generated,50,tons,AI-generated material listing 2 for Saudi Kayan Petrochemical Company,B,2500,True,2025-07-20T00:39:20.176120
,Saudi Kayan Petrochemical Company,Generic Material - Saudi Kayan Petrochemical Company,unknown,100,tons,Generic material from Saudi Kayan Petrochemical Company,C,2000,True,2025-07-20T00:39:20.176120
,National Industrialization Company (Tasnee),Steel Scrap,waste,150,tons,Steel scrap from National Industrialization Company (Tasnee) manufacturing,B,45000,True,2025-07-20T00:39:20.183647
,National Industrialization Company (Tasnee),Aluminum Waste,waste,50,tons,Aluminum waste from National Industrialization Company (Tasnee) operations,A,75000,True,2025-07-20T00:39:20.183647
,National Industrialization Company (Tasnee),AI Listing 1 for National Industrialization Company (Tasnee),ai_generated,100,tons,AI-generated material listing 1 for National Industrialization Company (Tasnee),A,5000,True,2025-07-20T00:39:20.183647
,National Industrialization Company (Tasnee),AI Listing 2 for National Industrialization Company (Tasnee),ai_generated,50,tons,AI-generated material listing 2 for National Industrialization Company (Tasnee),B,2500,True,2025-07-20T00:39:20.183647
,National Industrialization Company (Tasnee),Generic Material - National Industrialization Company (Tasnee),unknown,100,tons,Generic material from National Industrialization Company (Tasnee),C,2000,True,2025-07-20T00:39:20.183647
,Saudi International Petrochemical Company (SIPCHEM),Steel Scrap,waste,150,tons,Steel scrap from Saudi International Petrochemical Company (SIPCHEM) manufacturing,B,45000,True,2025-07-20T00:39:20.193171
,Saudi International Petrochemical Company (SIPCHEM),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi International Petrochemical Company (SIPCHEM) operations,A,75000,True,2025-07-20T00:39:20.193171
,Saudi International Petrochemical Company (SIPCHEM),AI Listing 1 for Saudi International Petrochemical Company (SIPCHEM),ai_generated,100,tons,AI-generated material listing 1 for Saudi International Petrochemical Company (SIPCHEM),A,5000,True,2025-07-20T00:39:20.193171
,Saudi International Petrochemical Company (SIPCHEM),AI Listing 2 for Saudi International Petrochemical Company (SIPCHEM),ai_generated,50,tons,AI-generated material listing 2 for Saudi International Petrochemical Company (SIPCHEM),B,2500,True,2025-07-20T00:39:20.193171
,Saudi International Petrochemical Company (SIPCHEM),Generic Material - Saudi International Petrochemical Company (SIPCHEM),unknown,100,tons,Generic material from Saudi International Petrochemical Company (SIPCHEM),C,2000,True,2025-07-20T00:39:20.193171
,Petrochemical Industries Company (PIC) Kuwait,Steel Scrap,waste,150,tons,Steel scrap from Petrochemical Industries Company (PIC) Kuwait manufacturing,B,45000,True,2025-07-20T00:39:20.203244
,Petrochemical Industries Company (PIC) Kuwait,Aluminum Waste,waste,50,tons,Aluminum waste from Petrochemical Industries Company (PIC) Kuwait operations,A,75000,True,2025-07-20T00:39:20.203244
,Petrochemical Industries Company (PIC) Kuwait,AI Listing 1 for Petrochemical Industries Company (PIC) Kuwait,ai_generated,100,tons,AI-generated material listing 1 for Petrochemical Industries Company (PIC) Kuwait,A,5000,True,2025-07-20T00:39:20.203244
,Petrochemical Industries Company (PIC) Kuwait,AI Listing 2 for Petrochemical Industries Company (PIC) Kuwait,ai_generated,50,tons,AI-generated material listing 2 for Petrochemical Industries Company (PIC) Kuwait,B,2500,True,2025-07-20T00:39:20.203244
,Petrochemical Industries Company (PIC) Kuwait,Generic Material - Petrochemical Industries Company (PIC) Kuwait,unknown,100,tons,Generic material from Petrochemical Industries Company (PIC) Kuwait,C,2000,True,2025-07-20T00:39:20.203244
,Saudi Steel Pipe Company,Steel Scrap,waste,150,tons,Steel scrap from Saudi Steel Pipe Company manufacturing,B,45000,True,2025-07-20T00:39:20.212334
,Saudi Steel Pipe Company,Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Steel Pipe Company operations,A,75000,True,2025-07-20T00:39:20.212334
,Saudi Steel Pipe Company,AI Listing 1 for Saudi Steel Pipe Company,ai_generated,100,tons,AI-generated material listing 1 for Saudi Steel Pipe Company,A,5000,True,2025-07-20T00:39:20.212334
,Saudi Steel Pipe Company,AI Listing 2 for Saudi Steel Pipe Company,ai_generated,50,tons,AI-generated material listing 2 for Saudi Steel Pipe Company,B,2500,True,2025-07-20T00:39:20.212334
,Saudi Steel Pipe Company,Generic Material - Saudi Steel Pipe Company,unknown,100,tons,Generic material from Saudi Steel Pipe Company,C,2000,True,2025-07-20T00:39:20.212334
,Arabtec Holding PJSC,General Waste,waste,100,tons,General waste from Arabtec Holding PJSC operations,C,20000,True,2025-07-20T00:39:20.221854
,Arabtec Holding PJSC,AI Listing 1 for Arabtec Holding PJSC,ai_generated,100,tons,AI-generated material listing 1 for Arabtec Holding PJSC,A,5000,True,2025-07-20T00:39:20.221854
,Arabtec Holding PJSC,AI Listing 2 for Arabtec Holding PJSC,ai_generated,50,tons,AI-generated material listing 2 for Arabtec Holding PJSC,B,2500,True,2025-07-20T00:39:20.221854
,Arabtec Holding PJSC,Generic Material - Arabtec Holding PJSC,unknown,100,tons,Generic material from Arabtec Holding PJSC,C,2000,True,2025-07-20T00:39:20.221854
,National Industrialization Company (Tasnee),Steel Scrap,waste,150,tons,Steel scrap from National Industrialization Company (Tasnee) manufacturing,B,45000,True,2025-07-20T00:39:20.228858
,National Industrialization Company (Tasnee),Aluminum Waste,waste,50,tons,Aluminum waste from National Industrialization Company (Tasnee) operations,A,75000,True,2025-07-20T00:39:20.228858
,National Industrialization Company (Tasnee),AI Listing 1 for National Industrialization Company (Tasnee),ai_generated,100,tons,AI-generated material listing 1 for National Industrialization Company (Tasnee),A,5000,True,2025-07-20T00:39:20.228858
,National Industrialization Company (Tasnee),AI Listing 2 for National Industrialization Company (Tasnee),ai_generated,50,tons,AI-generated material listing 2 for National Industrialization Company (Tasnee),B,2500,True,2025-07-20T00:39:20.228858
,National Industrialization Company (Tasnee),Generic Material - National Industrialization Company (Tasnee),unknown,100,tons,Generic material from National Industrialization Company (Tasnee),C,2000,True,2025-07-20T00:39:20.228858
,Saudi Arabian Fertiliser Company (SAFCO),Steel Scrap,waste,150,tons,Steel scrap from Saudi Arabian Fertiliser Company (SAFCO) manufacturing,B,45000,True,2025-07-20T00:39:20.236050
,Saudi Arabian Fertiliser Company (SAFCO),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Arabian Fertiliser Company (SAFCO) operations,A,75000,True,2025-07-20T00:39:20.236050
,Saudi Arabian Fertiliser Company (SAFCO),AI Listing 1 for Saudi Arabian Fertiliser Company (SAFCO),ai_generated,100,tons,AI-generated material listing 1 for Saudi Arabian Fertiliser Company (SAFCO),A,5000,True,2025-07-20T00:39:20.236050
,Saudi Arabian Fertiliser Company (SAFCO),AI Listing 2 for Saudi Arabian Fertiliser Company (SAFCO),ai_generated,50,tons,AI-generated material listing 2 for Saudi Arabian Fertiliser Company (SAFCO),B,2500,True,2025-07-20T00:39:20.236050
,Saudi Arabian Fertiliser Company (SAFCO),Generic Material - Saudi Arabian Fertiliser Company (SAFCO),unknown,100,tons,Generic material from Saudi Arabian Fertiliser Company (SAFCO),C,2000,True,2025-07-20T00:39:20.236050
,Gulf Aluminium Rolling Mills (GARMCO),Steel Scrap,waste,150,tons,Steel scrap from Gulf Aluminium Rolling Mills (GARMCO) manufacturing,B,45000,True,2025-07-20T00:39:20.245409
,Gulf Aluminium Rolling Mills (GARMCO),Aluminum Waste,waste,50,tons,Aluminum waste from Gulf Aluminium Rolling Mills (GARMCO) operations,A,75000,True,2025-07-20T00:39:20.245409
,Gulf Aluminium Rolling Mills (GARMCO),AI Listing 1 for Gulf Aluminium Rolling Mills (GARMCO),ai_generated,100,tons,AI-generated material listing 1 for Gulf Aluminium Rolling Mills (GARMCO),A,5000,True,2025-07-20T00:39:20.245409
,Gulf Aluminium Rolling Mills (GARMCO),AI Listing 2 for Gulf Aluminium Rolling Mills (GARMCO),ai_generated,50,tons,AI-generated material listing 2 for Gulf Aluminium Rolling Mills (GARMCO),B,2500,True,2025-07-20T00:39:20.245409
,Gulf Aluminium Rolling Mills (GARMCO),Generic Material - Gulf Aluminium Rolling Mills (GARMCO),unknown,100,tons,Generic material from Gulf Aluminium Rolling Mills (GARMCO),C,2000,True,2025-07-20T00:39:20.245409
,Saudi Arabian Glass Company (SAGCO),Steel Scrap,waste,150,tons,Steel scrap from Saudi Arabian Glass Company (SAGCO) manufacturing,B,45000,True,2025-07-20T00:39:20.254965
,Saudi Arabian Glass Company (SAGCO),Aluminum Waste,waste,50,tons,Aluminum waste from Saudi Arabian Glass Company (SAGCO) operations,A,75000,True,2025-07-20T00:39:20.254965
,Saudi Arabian Glass Company (SAGCO),AI Listing 1 for Saudi Arabian Glass Company (SAGCO),ai_generated,100,tons,AI-generated material listing 1 for Saudi Arabian Glass Company (SAGCO),A,5000,True,2025-07-20T00:39:20.254965
,Saudi Arabian Glass Company (SAGCO),AI Listing 2 for Saudi Arabian Glass Company (SAGCO),ai_generated,50,tons,AI-generated material listing 2 for Saudi Arabian Glass Company (SAGCO),B,2500,True,2025-07-20T00:39:20.254965
,Saudi Arabian Glass Company (SAGCO),Generic Material - Saudi Arabian Glass Company (SAGCO),unknown,100,tons,Generic material from Saudi Arabian Glass Company (SAGCO),C,2000,True,2025-07-20T00:39:20.254965
,Kuwait Oil Company (KOC),General Waste,waste,100,tons,General waste from Kuwait Oil Company (KOC) operations,C,20000,True,2025-07-20T00:39:20.265047
,Kuwait Oil Company (KOC),AI Listing 1 for Kuwait Oil Company (KOC),ai_generated,100,tons,AI-generated material listing 1 for Kuwait Oil Company (KOC),A,5000,True,2025-07-20T00:39:20.265047
,Kuwait Oil Company (KOC),AI Listing 2 for Kuwait Oil Company (KOC),ai_generated,50,tons,AI-generated material listing 2 for Kuwait Oil Company (KOC),B,2500,True,2025-07-20T00:39:20.265047
,Kuwait Oil Company (KOC),Generic Material - Kuwait Oil Company (KOC),unknown,100,tons,Generic material from Kuwait Oil Company (KOC),C,2000,True,2025-07-20T00:39:20.265047
,Al Ghurair Foods,Steel Scrap,waste,150,tons,Steel scrap from Al Ghurair Foods manufacturing,B,45000,True,2025-07-20T00:39:20.276132
,Al Ghurair Foods,Aluminum Waste,waste,50,tons,Aluminum waste from Al Ghurair Foods operations,A,75000,True,2025-07-20T00:39:20.276132
,Al Ghurair Foods,AI Listing 1 for Al Ghurair Foods,ai_generated,100,tons,AI-generated material listing 1 for Al Ghurair Foods,A,5000,True,2025-07-20T00:39:20.276132
,Al Ghurair Foods,AI Listing 2 for Al Ghurair Foods,ai_generated,50,tons,AI-generated material listing 2 for Al Ghurair Foods,B,2500,True,2025-07-20T00:39:20.276132
,Al Ghurair Foods,Generic Material - Al Ghurair Foods,unknown,100,tons,Generic material from Al Ghurair Foods,C,2000,True,2025-07-20T00:39:20.276132
,National Cement Company (UAE),Steel Scrap,waste,150,tons,Steel scrap from National Cement Company (UAE) manufacturing,B,45000,True,2025-07-20T00:39:20.285656
,National Cement Company (UAE),Aluminum Waste,waste,50,tons,Aluminum waste from National Cement Company (UAE) operations,A,75000,True,2025-07-20T00:39:20.285656
,National Cement Company (UAE),AI Listing 1 for National Cement Company (UAE),ai_generated,100,tons,AI-generated material listing 1 for National Cement Company (UAE),A,5000,True,2025-07-20T00:39:20.285656
,National Cement Company (UAE),AI Listing 2 for National Cement Company (UAE),ai_generated,50,tons,AI-generated material listing 2 for National Cement Company (UAE),B,2500,True,2025-07-20T00:39:20.285656
,National Cement Company (UAE),Generic Material - National Cement Company (UAE),unknown,100,tons,Generic material from National Cement Company (UAE),C,2000,True,2025-07-20T00:39:20.285656
,Qatar Petrochemical Company (QAPCO),Steel Scrap,waste,150,tons,Steel scrap from Qatar Petrochemical Company (QAPCO) manufacturing,B,45000,True,2025-07-20T00:39:20.296342
,Qatar Petrochemical Company (QAPCO),Aluminum Waste,waste,50,tons,Aluminum waste from Qatar Petrochemical Company (QAPCO) operations,A,75000,True,2025-07-20T00:39:20.296342
,Qatar Petrochemical Company (QAPCO),AI Listing 1 for Qatar Petrochemical Company (QAPCO),ai_generated,100,tons,AI-generated material listing 1 for Qatar Petrochemical Company (QAPCO),A,5000,True,2025-07-20T00:39:20.296342
,Qatar Petrochemical Company (QAPCO),AI Listing 2 for Qatar Petrochemical Company (QAPCO),ai_generated,50,tons,AI-generated material listing 2 for Qatar Petrochemical Company (QAPCO),B,2500,True,2025-07-20T00:39:20.296342
,Qatar Petrochemical Company (QAPCO),Generic Material - Qatar Petrochemical Company (QAPCO),unknown,100,tons,Generic material from Qatar Petrochemical Company (QAPCO),C,2000,True,2025-07-20T00:39:20.296342
,Ma'aden Phosphate Company,Steel Scrap,waste,150,tons,Steel scrap from Ma'aden Phosphate Company manufacturing,B,45000,True,2025-07-20T00:39:20.307032
,Ma'aden Phosphate Company,Aluminum Waste,waste,50,tons,Aluminum waste from Ma'aden Phosphate Company operations,A,75000,True,2025-07-20T00:39:20.307032
,Ma'aden Phosphate Company,AI Listing 1 for Ma'aden Phosphate Company,ai_generated,100,tons,AI-generated material listing 1 for Ma'aden Phosphate Company,A,5000,True,2025-07-20T00:39:20.307032
,Ma'aden Phosphate Company,AI Listing 2 for Ma'aden Phosphate Company,ai_generated,50,tons,AI-generated material listing 2 for Ma'aden Phosphate Company,B,2500,True,2025-07-20T00:39:20.307032
,Ma'aden Phosphate Company,Generic Material - Ma'aden Phosphate Company,unknown,100,tons,Generic material from Ma'aden Phosphate Company,C,2000,True,2025-07-20T00:39:20.307032
,Bahrain Petroleum Company (BAPCO),Steel Scrap,waste,150,tons,Steel scrap from Bahrain Petroleum Company (BAPCO) manufacturing,B,45000,True,2025-07-20T00:39:20.317564
,Bahrain Petroleum Company (BAPCO),Aluminum Waste,waste,50,tons,Aluminum waste from Bahrain Petroleum Company (BAPCO) operations,A,75000,True,2025-07-20T00:39:20.317564
,Bahrain Petroleum Company (BAPCO),AI Listing 1 for Bahrain Petroleum Company (BAPCO),ai_generated,100,tons,AI-generated material listing 1 for Bahrain Petroleum Company (BAPCO),A,5000,True,2025-07-20T00:39:20.317564
,Bahrain Petroleum Company (BAPCO),AI Listing 2 for Bahrain Petroleum Company (BAPCO),ai_generated,50,tons,AI-generated material listing 2 for Bahrain Petroleum Company (BAPCO),B,2500,True,2025-07-20T00:39:20.317564
,Bahrain Petroleum Company (BAPCO),Generic Material - Bahrain Petroleum Company (BAPCO),unknown,100,tons,Generic material from Bahrain Petroleum Company (BAPCO),C,2000,True,2025-07-20T00:39:20.317564
,SABIC (Jubail Operations),Steel Scrap,waste,150,tons,Steel scrap from SABIC (Jubail Operations) manufacturing,B,45000,True,2025-07-20T00:39:20.330615
,SABIC (Jubail Operations),Aluminum Waste,waste,50,tons,Aluminum waste from SABIC (Jubail Operations) operations,A,75000,True,2025-07-20T00:39:20.330615
,SABIC (Jubail Operations),AI Listing 1 for SABIC (Jubail Operations),ai_generated,100,tons,AI-generated material listing 1 for SABIC (Jubail Operations),A,5000,True,2025-07-20T00:39:20.330615
,SABIC (Jubail Operations),AI Listing 2 for SABIC (Jubail Operations),ai_generated,50,tons,AI-generated material listing 2 for SABIC (Jubail Operations),B,2500,True,2025-07-20T00:39:20.330615
,SABIC (Jubail Operations),Generic Material - SABIC (Jubail Operations),unknown,100,tons,Generic material from SABIC (Jubail Operations),C,2000,True,2025-07-20T00:39:20.330615
,Kuwait Oil Company (KOC),General Waste,waste,100,tons,General waste from Kuwait Oil Company (KOC) operations,C,20000,True,2025-07-20T00:39:20.340130
,Kuwait Oil Company (KOC),AI Listing 1 for Kuwait Oil Company (KOC),ai_generated,100,tons,AI-generated material listing 1 for Kuwait Oil Company (KOC),A,5000,True,2025-07-20T00:39:20.340130
,Kuwait Oil Company (KOC),AI Listing 2 for Kuwait Oil Company (KOC),ai_generated,50,tons,AI-generated material listing 2 for Kuwait Oil Company (KOC),B,2500,True,2025-07-20T00:39:20.340130
,Kuwait Oil Company (KOC),Generic Material - Kuwait Oil Company (KOC),unknown,100,tons,Generic material from Kuwait Oil Company (KOC),C,2000,True,2025-07-20T00:39:20.340130
,Emirates Building Systems (EBS),Steel Scrap,waste,150,tons,Steel scrap from Emirates Building Systems (EBS) manufacturing,B,45000,True,2025-07-20T00:39:20.348142
,Emirates Building Systems (EBS),Aluminum Waste,waste,50,tons,Aluminum waste from Emirates Building Systems (EBS) operations,A,75000,True,2025-07-20T00:39:20.348142
,Emirates Building Systems (EBS),AI Listing 1 for Emirates Building Systems (EBS),ai_generated,100,tons,AI-generated material listing 1 for Emirates Building Systems (EBS),A,5000,True,2025-07-20T00:39:20.348142
,Emirates Building Systems (EBS),AI Listing 2 for Emirates Building Systems (EBS),ai_generated,50,tons,AI-generated material listing 2 for Emirates Building Systems (EBS),B,2500,True,2025-07-20T00:39:20.348142
,Emirates Building Systems (EBS),Generic Material - Emirates Building Systems (EBS),unknown,100,tons,Generic material from Emirates Building Systems (EBS),C,2000,True,2025-07-20T00:39:20.348142
,Jordan Petroleum Refinery Co. Ltd.,Steel Scrap,waste,150,tons,Steel scrap from Jordan Petroleum Refinery Co. Ltd. manufacturing,B,45000,True,2025-07-20T00:39:20.357661
,Jordan Petroleum Refinery Co. Ltd.,Aluminum Waste,waste,50,tons,Aluminum waste from Jordan Petroleum Refinery Co. Ltd. operations,A,75000,True,2025-07-20T00:39:20.357661
,Jordan Petroleum Refinery Co. Ltd.,AI Listing 1 for Jordan Petroleum Refinery Co. Ltd.,ai_generated,100,tons,AI-generated material listing 1 for Jordan Petroleum Refinery Co. Ltd.,A,5000,True,2025-07-20T00:39:20.357661
,Jordan Petroleum Refinery Co. Ltd.,AI Listing 2 for Jordan Petroleum Refinery Co. Ltd.,ai_generated,50,tons,AI-generated material listing 2 for Jordan Petroleum Refinery Co. Ltd.,B,2500,True,2025-07-20T00:39:20.357661
,Jordan Petroleum Refinery Co. Ltd.,Generic Material - Jordan Petroleum Refinery Co. Ltd.,unknown,100,tons,Generic material from Jordan Petroleum Refinery Co. Ltd.,C,2000,True,2025-07-20T00:39:20.357661
,Qatar Petrochemical Company (QAPCO),Steel Scrap,waste,150,tons,Steel scrap from Qatar Petrochemical Company (QAPCO) manufacturing,B,45000,True,2025-07-20T00:39:20.370189
,Qatar Petrochemical Company (QAPCO),Aluminum Waste,waste,50,tons,Aluminum waste from Qatar Petrochemical Company (QAPCO) operations,A,75000,True,2025-07-20T00:39:20.370189
,Qatar Petrochemical Company (QAPCO),AI Listing 1 for Qatar Petrochemical Company (QAPCO),ai_generated,100,tons,AI-generated material listing 1 for Qatar Petrochemical Company (QAPCO),A,5000,True,2025-07-20T00:39:20.370189
,Qatar Petrochemical Company (QAPCO),AI Listing 2 for Qatar Petrochemical Company (QAPCO),ai_generated,50,tons,AI-generated material listing 2 for Qatar Petrochemical Company (QAPCO),B,2500,True,2025-07-20T00:39:20.370189
,Qatar Petrochemical Company (QAPCO),Generic Material - Qatar Petrochemical Company (QAPCO),unknown,100,tons,Generic material from Qatar Petrochemical Company (QAPCO),C,2000,True,2025-07-20T00:39:20.370189
,Oman Cables Industry,Steel Scrap,waste,150,tons,Steel scrap from Oman Cables Industry manufacturing,B,45000,True,2025-07-20T00:39:20.380844
,Oman Cables Industry,Aluminum Waste,waste,50,tons,Aluminum waste from Oman Cables Industry operations,A,75000,True,2025-07-20T00:39:20.380844
,Oman Cables Industry,AI Listing 1 for Oman Cables Industry,ai_generated,100,tons,AI-generated material listing 1 for Oman Cables Industry,A,5000,True,2025-07-20T00:39:20.380844
,Oman Cables Industry,AI Listing 2 for Oman Cables Industry,ai_generated,50,tons,AI-generated material listing 2 for Oman Cables Industry,B,2500,True,2025-07-20T00:39:20.380844
,Oman Cables Industry,Generic Material - Oman Cables Industry,unknown,100,tons,Generic material from Oman Cables Industry,C,2000,True,2025-07-20T00:39:20.380844
,Fine Hygienic Holding,Steel Scrap,waste,150,tons,Steel scrap from Fine Hygienic Holding manufacturing,B,45000,True,2025-07-20T00:39:20.392261
,Fine Hygienic Holding,Aluminum Waste,waste,50,tons,Aluminum waste from Fine Hygienic Holding operations,A,75000,True,2025-07-20T00:39:20.392261
,Fine Hygienic Holding,AI Listing 1 for Fine Hygienic Holding,ai_generated,100,tons,AI-generated material listing 1 for Fine Hygienic Holding,A,5000,True,2025-07-20T00:39:20.392261
,Fine Hygienic Holding,AI Listing 2 for Fine Hygienic Holding,ai_generated,50,tons,AI-generated material listing 2 for Fine Hygienic Holding,B,2500,True,2025-07-20T00:39:20.392261
,Fine Hygienic Holding,Generic Material - Fine Hygienic Holding,unknown,100,tons,Generic material from Fine Hygienic Holding,C,2000,True,2025-07-20T00:39:20.392261
,Kuwait Cement Company,Steel Scrap,waste,150,tons,Steel scrap from Kuwait Cement Company manufacturing,B,45000,True,2025-07-20T00:39:20.403337
,Kuwait Cement Company,Aluminum Waste,waste,50,tons,Aluminum waste from Kuwait Cement Company operations,A,75000,True,2025-07-20T00:39:20.403337
,Kuwait Cement Company,AI Listing 1 for Kuwait Cement Company,ai_generated,100,tons,AI-generated material listing 1 for Kuwait Cement Company,A,5000,True,2025-07-20T00:39:20.403337
,Kuwait Cement Company,AI Listing 2 for Kuwait Cement Company,ai_generated,50,tons,AI-generated material listing 2 for Kuwait Cement Company,B,2500,True,2025-07-20T00:39:20.403337
,Kuwait Cement Company,Generic Material - Kuwait Cement Company,unknown,100,tons,Generic material from Kuwait Cement Company,C,2000,True,2025-07-20T00:39:20.403337
,Bahrain Flour Mills Company,Steel Scrap,waste,150,tons,Steel scrap from Bahrain Flour Mills Company manufacturing,B,45000,True,2025-07-20T00:39:20.416876
,Bahrain Flour Mills Company,Aluminum Waste,waste,50,tons,Aluminum waste from Bahrain Flour Mills Company operations,A,75000,True,2025-07-20T00:39:20.416876
,Bahrain Flour Mills Company,AI Listing 1 for Bahrain Flour Mills Company,ai_generated,100,tons,AI-generated material listing 1 for Bahrain Flour Mills Company,A,5000,True,2025-07-20T00:39:20.416876
,Bahrain Flour Mills Company,AI Listing 2 for Bahrain Flour Mills Company,ai_generated,50,tons,AI-generated material listing 2 for Bahrain Flour Mills Company,B,2500,True,2025-07-20T00:39:20.416876
,Bahrain Flour Mills Company,Generic Material - Bahrain Flour Mills Company,unknown,100,tons,Generic material from Bahrain Flour Mills Company,C,2000,True,2025-07-20T00:39:20.416876
,Advanced Petrochemical Company,Steel Scrap,waste,150,tons,Steel scrap from Advanced Petrochemical Company manufacturing,B,45000,True,2025-07-20T00:39:20.429967
,Advanced Petrochemical Company,Aluminum Waste,waste,50,tons,Aluminum waste from Advanced Petrochemical Company operations,A,75000,True,2025-07-20T00:39:20.429967
